region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
경상북도 봉화군,3,522.0,234.0,288.0,25.0,57,174.0,20.88,9.157894736842104,28158,19,806,1256996,36.39846743295019,10.654165778819518,18.53824845514596,0.4482758620689655,0.5517241379310345,2025 high schools only for school-level metrics
경상북도 상주시,10,2665.0,1502.0,1163.0,145.0,275,266.5,18.379310344827587,9.690909090909091,89602,178,4814,1360727,66.79174484052533,11.16046516818821,29.742639673221582,0.5636022514071295,0.43639774859287056,2025 high schools only for school-level metrics
경상북도 성주군,3,741.0,341.0,400.0,37.0,74,247.0,20.027027027027028,10.013513513513514,40571,37,1054,1343960,49.932523616734144,7.39444430751029,18.26427743955042,0.4601889338731444,0.5398110661268556,2025 high schools only for school-level metrics
경상북도 안동시,13,4135.0,2156.0,1979.0,208.0,412,318.0769230769231,19.879807692307693,10.03640776699029,151745,373,11261,1423960,90.20556227327691,8.567003855151736,27.249662262348018,0.5214026602176541,0.4785973397823458,2025 high schools only for school-level metrics
경상북도 영덕군,4,464.0,259.0,205.0,30.0,62,116.0,15.466666666666667,7.483870967741935,32589,29,868,1436681,62.5,12.274080211114182,14.237933044892449,0.5581896551724138,0.4418103448275862,2025 high schools only for school-level metrics
경상북도 영양군,3,259.0,117.0,142.0,17.0,38,86.33333333333333,15.235294117647058,6.815789473684211,15986,13,383,1285114,50.19305019305019,18.766420618040787,16.201676466908545,0.4517374517374517,0.5482625482625483,2025 high schools only for school-level metrics
경상북도 영주시,9,2969.0,1701.0,1268.0,144.0,282,329.8888888888889,20.618055555555557,10.52836879432624,96790,225,7830,1359608,75.78309195015157,9.298481248062815,30.674656472776114,0.5729201751431459,0.42707982485685414,2025 high schools only for school-level metrics
경상북도 영천시,9,2071.0,1149.0,922.0,106.0,222,230.11111111111111,19.537735849056602,9.32882882882883,94756,140,4304,1362611,67.60019314340899,9.4980792773017,21.856135759213135,0.5548044422984065,0.4451955577015934,2025 high schools only for school-level metrics
경상북도 예천군,3,1162.0,544.0,618.0,56.0,113,387.3333333333333,20.75,10.283185840707965,53808,115,4600,1435570,98.96729776247848,5.575379125780553,21.59530181385668,0.46815834767641995,0.53184165232358,2025 high schools only for school-level metrics
경상북도 울릉군,1,80.0,35.0,45.0,10.0,19,80.0,8.0,4.2105263157894735,8724,4,61,1669369,50.0,11.462631820265933,9.170105456212745,0.4375,0.5625,2025 high schools only for school-level metrics
경상북도 울진군,5,1126.0,700.0,426.0,62.0,133,225.2,18.161290322580644,8.466165413533835,45962,79,2335,1532911,70.15985790408526,10.878551847178104,24.49849875984509,0.6216696269982238,0.3783303730017762,2025 high schools only for school-level metrics
경상북도 의성군,6,804.0,529.0,275.0,48.0,106,134.0,16.75,7.584905660377358,47868,27,848,1280215,33.582089552238806,12.534469791927801,16.79618952118325,0.6579601990049752,0.3420398009950249,2025 high schools only for school-level metrics
경상북도 청도군,5,1295.0,685.0,610.0,63.0,125,259.0,20.555555555555557,10.36,40119,39,1406,1294849,30.115830115830114,12.462922804656147,32.27897006405942,0.528957528957529,0.47104247104247104,2025 high schools only for school-level metrics
경상북도 청송군,5,232.0,93.0,139.0,18.0,54,46.4,12.88888888888889,4.296296296296297,23313,11,318,1303119,47.41379310344827,21.447261184746708,9.951529189722473,0.40086206896551724,0.5991379310344828,2025 high schools only for school-level metrics
경상북도 칠곡군,7,2638.0,1409.0,1229.0,121.0,236,376.85714285714283,21.801652892561982,11.177966101694915,104347,218,7929,1452704,82.63836239575436,6.708386441392661,25.281033474848343,0.5341167551175132,0.4658832448824867,2025 high schools only for school-level metrics
경상북도 포항시,27,12408.0,6380.0,6028.0,582.0,1156,459.55555555555554,21.31958762886598,10.73356401384083,273951,1349,45726,1456948,108.72018052869117,9.855777128026544,45.292771335019765,0.5141843971631206,0.4858156028368794,2025 high schools only for school-level metrics
광주광역시 광산구,17,11481.0,6422.0,5059.0,453.0,889,675.3529411764706,25.344370860927153,12.91451068616423,386223,1284,60335,1391767,111.83694800104522,4.401602183194683,29.726349803093033,0.5593589408588102,0.4406410591411898,2025 high schools only for school-level metrics
광주광역시 남구,17,8899.0,3759.0,5140.0,409.0,785,523.4705882352941,21.757946210268948,11.336305732484076,207015,914,43064,1358226,102.70816945724239,8.211965316522958,42.98722314808106,0.4224070120238229,0.5775929879761771,2025 high schools only for school-level metrics
광주광역시 동구,5,2881.0,1190.0,1691.0,127.0,245,576.2,22.68503937007874,11.759183673469387,104794,388,14909,1354972,134.67545990975356,4.771265530469302,27.492031986564115,0.41305102395001736,0.5869489760499826,2025 high schools only for school-level metrics
